question,category,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6
اذكر شيء يميز رحلة مدرسية (رحلة ترفيهية للطلاب),عامة,الحافلة المدرسية,28,زيارة متحف أو حديقة,24,وجبة الغداء الجماعية,20,إشراف المعلمين,16,الحماس والفرح بين الطلاب,12,,
اذكر مدينة خليجية يزورها السعوديون كثير,عامة,دبي,32,المنامة,22,الكويت,16,الدوحة,14,أبوظبي,10,مسقط,6
اذكر صدقة يقدر يسويها أي شخص,عامة,إطعام محتاج,28,سقيا ماء,22,الكلمة الطيبة,18,مساعدة كبير السن,14,التبرع بالملابس,10,إماطة الأذى,8
اذكر وقت من اليوم يحبه الناس,عامة,وقت المغرب,26,الفجر,22,الليل المتأخر,20,العصر,14,الظهيرة,10,الضحى,8
اذكر نشاط تسويه لما يكون الجو معتدل,عامة,المشي,30,شوي بالبر,24,جلسة بالحديقة,18,رياضة برا,12,التصوير,9,القراءة برا,7
اذكر دولة الناس تحب أكلها,عامة,إيطاليا,26,اليابان,20,تركيا,18,الهند,16,المكسيك,12,لبنان,8
اذكر شيء ألوانه كثيرة وزاهية,عامة,الورد,26,ألوان الرسم,22,ملابس الأطفال,18,الحلويات,14,الطيور,12,البالونات,8
اذكر صوت تعرفه من أول ما تسمعه,عامة,المنبه,28,رنة الجوال,24,الأذان,20,صوت المطر,12,بكاء طفل,10,زامور السيارة,6
اذكر شيء يخلّي الطفل يضحك بسرعة,عامة,الدغدغة,30,وجه مضحك,24,صوت غريب,18,لعبة جديدة,12,الغميضة,10,كرتون,6
اذكر شيء يخلّي هواء الغرفة منعش,عامة,فتح النافذة,30,معطر الجو,24,المكيف,18,النباتات,12,البخور,10,مروحة,6
اذكر شيء تفتقده لما تسافر بعيد عن بيتك,عامة,الأهل,32,أكل البيت,24,سريرك,18,الأصدقاء,12,روتينك اليومي,8,جو بلدك,6
